Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
31.947,1153965.0,1085762.0,276833.0,407682.0,-18753.0,679206.0,-8254.0,-8388608.0
31.959,1350598.0,1373333.0,-74637.0,243378.0,-18244.0,633890.0,344430.0,-8388608.0
31.961,1332885.0,1379123.0,-99154.0,234029.0,-18124.0,639854.0,558439.0,-8388608.0
31.963,1332885.0,1379123.0,-99154.0,234029.0,-18124.0,639854.0,558439.0,-8388608.0
31.965,1264723.0,1144308.0,341935.0,474703.0,-17867.0,652754.0,68941.0,-8388608.0
31.967,1264723.0,1144308.0,341935.0,474703.0,-17867.0,652754.0,68941.0,-8388608.0
31.969,1247910.0,1110368.0,382372.0,491121.0,-16619.0,643882.0,-16064.0,-8388608.0
31.971,1247910.0,1110368.0,382372.0,491121.0,-16619.0,643882.0,-16064.0,-8388608.0
31.973,1240314.0,1109582.0,371369.0,485177.0,-17439.0,649922.0,8382.0,-8388608.0
31.975,1240314.0,1109582.0,371369.0,485177.0,-17439.0,649922.0,8382.0,-8388608.0
31.977,1231646.0,1125846.0,357033.0,489362.0,-18201.0,670711.0,37567.0,-8388608.0
31.979,1231646.0,1125846.0,357033.0,489362.0,-18201.0,670711.0,37567.0,-8388608.0
31.981,1230238.0,1120372.0,387033.0,488051.0,-17372.0,647474.0,-5598.0,-8388608.0
31.983,1230238.0,1120372.0,387033.0,488051.0,-17372.0,647474.0,-5598.0,-8388608.0
31.995,1211844.0,1121213.0,356208.0,502726.0,-17676.0,674164.0,1186.0,-8388608.0
31.997,1199853.0,1113756.0,379186.0,491044.0,-17647.0,667319.0,-11900.0,-8388608.0
32.067,1168758.0,1089035.0,273249.0,407037.0,-17729.0,673398.0,-9028.0,-8388608.0
32.069,1158181.0,1093298.0,283172.0,421853.0,-18744.0,678310.0,-11530.0,-8388608.0
32.071,1158181.0,1093298.0,283172.0,421853.0,-18744.0,678310.0,-11530.0,-8388608.0
32.073,1224133.0,1170057.0,221999.0,417956.0,-18712.0,633643.0,52448.0,-8388608.0
32.075,1224133.0,1170057.0,221999.0,417956.0,-18712.0,633643.0,52448.0,-8388608.0
32.077,1298819.0,1321244.0,-12562.0,303679.0,-18846.0,636493.0,215249.0,-8388608.0
32.079,1298819.0,1321244.0,-12562.0,303679.0,-18846.0,636493.0,215249.0,-8388608.0
32.081,1242411.0,1202348.0,203990.0,402225.0,-17810.0,631154.0,59399.0,-8388608.0
32.083,1242411.0,1202348.0,203990.0,402225.0,-17810.0,631154.0,59399.0,-8388608.0
32.085,1224942.0,1121496.0,388126.0,488159.0,-17681.0,627581.0,-9036.0,-8388608.0
32.087,1224942.0,1121496.0,388126.0,488159.0,-17681.0,627581.0,-9036.0,-8388608.0
32.089,1255328.0,1116561.0,368964.0,451109.0,-19302.0,661551.0,-3587.0,-8388608.0
32.091,1255328.0,1116561.0,368964.0,451109.0,-19302.0,661551.0,-3587.0,-8388608.0
32.103,1234191.0,1131788.0,372297.0,475291.0,-16962.0,654248.0,-11344.0,-8388608.0
32.127,1126222.0,1093367.0,273164.0,401621.0,-18649.0,670159.0,-11473.0,-8388608.0
32.139,1257782.0,1266888.0,99161.0,274513.0,-18426.0,669572.0,-6435.0,-8388608.0
32.141,1272620.0,1262333.0,68296.0,300631.0,-19027.0,628698.0,88205.0,-8388608.0
32.143,1272620.0,1262333.0,68296.0,300631.0,-19027.0,628698.0,88205.0,-8388608.0
32.145,1259468.0,1150394.0,312077.0,436800.0,-18112.0,621776.0,81500.0,-8388608.0
32.147,1259468.0,1150394.0,312077.0,436800.0,-18112.0,621776.0,81500.0,-8388608.0
32.149,1238511.0,1123898.0,388719.0,502366.0,-19079.0,645950.0,-8895.0,-8388608.0
32.151,1238511.0,1123898.0,388719.0,502366.0,-19079.0,645950.0,-8895.0,-8388608.0
32.153,1223741.0,1119775.0,396728.0,512393.0,-17859.0,691114.0,-10754.0,-8388608.0
32.155,1223741.0,1119775.0,396728.0,512393.0,-17859.0,691114.0,-10754.0,-8388608.0
32.157,1246525.0,1112840.0,354557.0,479529.0,-18382.0,651467.0,-2524.0,-8388608.0
32.159,1246525.0,1112840.0,354557.0,479529.0,-18382.0,651467.0,-2524.0,-8388608.0
32.187,1145751.0,1092709.0,266464.0,438329.0,-19566.0,686181.0,-9994.0,-8388608.0
