Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label
89.14,1051.63525390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.141,725.787353515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.145,-464.8089904785156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.149,-104.90836334228516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.16,919.5567016601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.161,-276.4857177734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.165,-270.1771545410156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.169,880.1497192382812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.173,1091.4141845703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.184,-124.14874267578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.185,807.9911499023438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.189,1087.039794921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.193,95.42645263671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.197,-575.6891479492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.208,1108.2227783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.209,367.947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.213,-543.6075439453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.217,360.83880615234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.221,1111.9163818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.232,-445.5757751464844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.233,76.08235931396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.237,1047.4659423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.256,1069.36767578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.257,1085.32080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.261,250.00218200683594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.265,21.867753982543945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.269,897.6424560546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.28,-283.9464416503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.281,-618.2802734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.285,520.1370239257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.289,1073.3653564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.293,290.33306884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.304,466.72528076171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89.305,1106.2515869140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89.309,449.5120544433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
